School Code,School Name,Address,City,State Code,Zip Code,Province,Country,Postal Code
B04724,WIDENER UNIVERSITY - DELAWARE LAW SCHOOL,4601 CONCORD PIKE,WILMINGTON,DE,19803,N/A,N/A,N/A
B06171,CENTER FOR ADVANCED STUDIES OF PUER,52 DEL CRISTO STREET,OLD SAN JUAN,PR,00901,N/A,N/A,N/A
B06511,PENTECOSTAL THEOLOGICAL SEMINARY,PO BOX 3330,CLEVELAND,TN,37320,N/A,N/A,N/A
B07022,THE CHICAGO SCHOOL OF PROF PSYCHOLOGY,707 WILSHIRE BOULEVARD,LOS ANGELES,CA,90017,N/A,N/A,N/A
B07624,NATIONAL UNIVERSITY OF NATURAL MEDICINE,49 SOUTH PORTER STREET,PORTLAND,OR,97201,N/A,N/A,N/A
B07625,OREGON COLLEGE OF ORIENTAL MEDICINE,75 NORTHWEST COUCH STREET,PORTLAND,OR,97209,N/A,N/A,N/A
B08041,ADLER GRADUATE SCHOOL,1550 E 78TH ST,RICHFIELD,MN,55423,N/A,N/A,N/A
B08083,UNIV OF THE DIST OF COLU -SCHOOL OF LAW,4200 CONNECTICUT AVENUE NW,WASHINGTON,DC,20008,N/A,N/A,N/A
B42154,GRACE SCHOOL OF THEOLOGY,3705 COLLEGE PARK DRIVE,THE WOODLANDS,TX,77384,N/A,N/A,N/A
E00014,AMRCN REPERTORY THTR INST ADV THTR,64 BRATTLE STREET,CAMBRIDGE,MA,02138,N/A,N/A,N/A
E00058,BROWN UNIVERSITY - GRADUATE SCHOOL,8 FONES ALLEY,PROVIDENCE,RI,02912,N/A,N/A,N/A
E00059,BROWN MEDICAL SCHOOL,97 WATERMAN STREET  BOX G-A212,PROVIDENCE,RI,02912,N/A,N/A,N/A
E00131,"CATHOLIC UNIV AMERICA, LAW SCHOOL",OFC FNCL AID  CARDINAL STATION,WASHINGTON,DC,20064,N/A,N/A,N/A
E00171,EAST TENNESSEE STATE UNIV - MEDICINE,VA CAMPUS MAPLE AVENUE,JOHNSON CITY,TN,37614,N/A,N/A,N/A
E00177,ERSKINE THEOLOGICAL SEMINARY,PO BOX 668,DUE WEST,SC,29639,N/A,N/A,N/A
E00196,GEORGE WASHINGTON UNIV LAW SCHL,2000 H STREET NW,WASHINGTON,DC,20052,N/A,N/A,N/A
E00197,GEORGE WASHINGTON UNIV SCH MED,2300 I ST NW,WASHINGTON,DC,20052,N/A,N/A,N/A
E00209,HARVARD EXTENSION SCHOOL,51 BRATTLE STREET,CAMBRIDGE,MA,02138,N/A,N/A,N/A
E00210,HARVARD UNIVERSITY - HARVARD DIVINITY SC,45 FRANCIS AVENUE,CAMBRIDGE,MA,02138,N/A,N/A,N/A
E00212,HARVARD UNIV GRAD SCH DESIGN,48 QUINCY STR,CAMBRIDGE,MA,02138,N/A,N/A,N/A
E00213,HARVARD UNIV GRAD SCH ED,13 APPIAN WAY,CAMBRIDGE,MA,02138,N/A,N/A,N/A
E00214,HARVARD UNIV SCHL OF PUBLIC HEALTH,677 HUNTINGTON AVENUE,BOSTON,MA,02115,N/A,N/A,N/A
E00215,HARVARD KENNEDY SCHOOL,124 MT AUBURN ST,CAMBRIDGE,MA,02138,N/A,N/A,N/A
