"","unitid","fips","year","level_of_study","race","sex","headcount"
"1",100654,1,2009,99,99,99,6173
"2",100663,1,2009,99,99,99,20395
"3",100690,1,2009,99,99,99,1097
"4",100706,1,2009,99,99,99,9102
"5",100724,1,2009,99,99,99,6625
"6",100751,1,2009,99,99,99,30613
"7",100760,1,2009,99,99,99,3423
"8",100812,1,2009,99,99,99,4918
"9",100830,1,2009,99,99,99,7227
"10",100858,1,2009,99,99,99,26464
"11",100937,1,2009,99,99,99,1611
"12",101028,1,2009,99,99,99,2737
"13",101073,1,2009,99,99,99,728
"14",101116,1,2009,99,99,99,1073
"15",101143,1,2009,99,99,99,4112
"16",101161,1,2009,99,99,99,6557
"17",101189,1,2009,99,99,99,4075
"18",101240,1,2009,99,99,99,10019
"19",101286,1,2009,99,99,99,6841
"20",101295,1,2009,99,99,99,8758
"21",101301,1,2009,99,99,99,3229
"22",101365,1,2009,99,99,99,716
"23",101435,1,2009,99,99,99,1233
"24",101453,1,2009,99,99,99,124
"25",101462,1,2009,99,99,99,2068
"26",101471,1,2009,99,99,99,1053
"27",101480,1,2009,99,99,99,11379
"28",101499,1,2009,99,99,99,2128
"29",101505,1,2009,99,99,99,13888
"30",101514,1,2009,99,99,99,16717
"31",101541,1,2009,99,99,99,342
"32",101569,1,2009,99,99,99,6637
"33",101587,1,2009,99,99,99,6390
"34",101602,1,2009,99,99,99,2572
"35",101648,1,2009,99,99,99,548
"36",101675,1,2009,99,99,99,2089
"37",101693,1,2009,99,99,99,1984
"38",101709,1,2009,99,99,99,3493
"39",101736,1,2009,99,99,99,6262
"40",101879,1,2009,99,99,99,8685
"41",101897,1,2009,99,99,99,4657
"42",101912,1,2009,99,99,99,2009
"43",101949,1,2009,99,99,99,2066
"44",101958,1,2009,99,99,99,133
"45",101994,1,2009,99,99,99,1111
"46",102030,1,2009,99,99,99,5911
"47",102049,1,2009,99,99,99,5145
"48",102058,1,2009,99,99,99,567
"49",102067,1,2009,99,99,99,9689
"50",102076,1,2009,99,99,99,3387
"51",102094,1,2009,99,99,99,17372
"52",102234,1,2009,99,99,99,1749
"53",102261,1,2009,99,99,99,239
"54",102270,1,2009,99,99,99,1185
"55",102298,1,2009,99,99,99,780
"56",102313,1,2009,99,99,99,2582
"57",102368,1,2009,99,99,99,38040
"58",102377,1,2009,99,99,99,3833
"59",102395,1,2009,99,99,99,1079
"60",102429,1,2009,99,99,99,6624
"61",102553,2,2009,99,99,99,27589
"62",102580,2,2009,99,99,99,37
"63",102614,2,2009,99,99,99,15661
"64",102632,2,2009,99,99,99,6347
"65",102669,2,2009,99,99,99,889
"66",102711,2,2009,99,99,99,1103
"67",102845,2,2009,99,99,99,3656
"68",103361,2,2009,99,99,99,2265
"69",103501,2,2009,99,99,99,555
"70",103644,4,2009,99,99,99,12190
"71",103723,4,2009,99,99,99,1856
"72",103732,4,2009,99,99,99,173
"73",103741,4,2009,99,99,99,390
"74",103778,4,2009,99,99,99,1487
"75",103787,4,2009,99,99,99,102
"76",103811,4,2009,99,99,99,1558
"77",103893,4,2009,99,99,99,1818
"78",103909,4,2009,99,99,99,1965
"79",103927,4,2009,99,99,99,1393
"80",103945,4,2009,99,99,99,349
"81",103954,4,2009,99,99,99,125
"82",103963,4,2009,99,99,99,2552
"83",104090,4,2009,99,99,99,2688
"84",104151,4,2009,99,99,99,76438
"85",104160,4,2009,99,99,99,12453
"86",104179,4,2009,99,99,99,42783
"87",104188,4,2009,99,99,99,333
"88",104294,4,2009,99,99,99,404
"89",104346,4,2009,99,99,99,15029
"90",104364,4,2009,99,99,99,1153
"91",104391,4,2009,99,99,99,90
"92",104425,4,2009,99,99,99,14633
"93",104434,4,2009,99,99,99,108
"94",104443,4,2009,99,99,99,305
"95",104504,4,2009,99,99,99,309
"96",104531,4,2009,99,99,99,3510
"97",104568,4,2009,99,99,99,425
"98",104577,4,2009,99,99,99,10247
"99",104586,4,2009,99,99,99,1782
"100",104665,4,2009,99,99,99,31
"101",104708,4,2009,99,99,99,32378
"102",104717,4,2009,99,99,99,53018
"103",104805,4,2009,99,99,99,1762
"104",104911,4,2009,99,99,99,297
"105",104984,4,2009,99,99,99,761
"106",105118,4,2009,99,99,99,1046
"107",105127,4,2009,99,99,99,154
"108",105145,4,2009,99,99,99,14159
"109",105154,4,2009,99,99,99,41759
